일시,지점,지점명,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),합계 일조시간(hr),최심적설(cm),평균지면온도(°C),연도,월
2022-12-01,184,제주,6.9,66,35.3,4.5,48.7,2.7,7,2022,12
2023-01-01,184,제주,6.8,68,42.1,4,86.7,3.7,6.8,2023,1
2023-02-01,184,제주,7.7,71,89.6,3.1,117.2,0,8.5,2023,2
2023-03-01,184,제주,12.3,66,49.6,2.7,211.1,0,14.3,2023,3
2023-04-01,184,제주,15.5,69,62.1,3.6,204.1,0,19.3,2023,4
2023-05-01,184,제주,19.1,77,269.3,2.7,180.3,0,23.3,2023,5
2023-06-01,184,제주,23.4,76,213,3.1,170.2,0,28.2,2023,6
2023-07-01,184,제주,28.1,75,273.2,3,124.6,0,30.4,2023,7
2023-08-01,184,제주,28.8,73,182.5,3.1,242.9,0,33.5,2023,8
2023-09-01,184,제주,25.5,71,84.5,2.8,182.6,0,29.4,2023,9
2023-10-01,184,제주,19.4,60,36,3,228.5,0,21.4,2023,10
2023-11-01,184,제주,13.7,60,69.1,3.9,117.1,0,13.1,2023,11
2023-12-01,184,제주,9.4,66,73.9,4,70.8,12.2,8.4,2023,12
2015-01-01,185,고산,6.9,70,58.9,9.6,139.9,0.5,6.4,2015,1
2015-02-01,185,고산,6.5,69,62.5,8.9,118.3,0,7.1,2015,2
2015-03-01,185,고산,9.4,70,91.3,6.7,200.3,0,12,2015,3
2015-04-01,185,고산,13.3,82,163.1,5.7,178.7,0,16.3,2015,4
2015-05-01,185,고산,16.7,80,232,5.3,236.9,0,22.3,2015,5
2015-06-01,185,고산,20,90,225,4.2,153.9,0,24.6,2015,6
2015-07-01,185,고산,23.8,92,167.2,4.8,188.4,0,28.9,2015,7
2015-08-01,185,고산,25.6,86,84,4.4,213.7,0,30.4,2015,8
2015-09-01,185,고산,22.3,77,222.8,4.6,202.8,0,25.2,2015,9
2015-10-01,185,고산,18.6,69,21.8,6,257.4,0,21.8,2015,10
2015-11-01,185,고산,14.6,78,123.5,6.4,83.5,0,14.3,2015,11
2015-12-01,185,고산,9.5,69,94.3,8.1,101.5,0,8.6,2015,12
2016-01-01,185,고산,5.6,70,70.1,9.3,65.3,0,5.3,2016,1
2016-02-01,185,고산,6.7,66,76.7,9.7,142.1,0,7.3,2016,2
2016-03-01,185,고산,9.7,72,89,6,207.2,0,11.5,2016,3
2016-04-01,185,고산,14.2,84,147.3,5.6,165.6,0,17.1,2016,4
2016-05-01,185,고산,17.5,82,143.2,5.3,193,0,21.6,2016,5
2016-06-01,185,고산,21.1,91,193.7,4.5,121.2,0,25.5,2016,6
2016-07-01,185,고산,26.1,89,117.2,5.1,218.9,0,29.7,2016,7
2016-08-01,185,고산,27.7,79,76.4,4.4,296.7,0,33.8,2016,8
2016-09-01,185,고산,23.4,86,128.9,4.2,140,0,26,2016,9
2016-10-01,185,고산,19.7,80,122.2,5.7,111.6,0,20,2016,10
2016-11-01,185,고산,13.4,73,50.7,7,134.1,0,12.8,2016,11
2016-12-01,185,고산,9.4,71,77.7,8.7,115.6,0,8.4,2016,12
2017-01-01,185,고산,6.5,69,19.6,8.9,133.3,0,5.9,2017,1
2017-02-01,185,고산,6.4,67,39.6,10,177,0,6.9,2017,2
2017-03-01,185,고산,9.4,65,34.2,7.2,193.9,0,11.5,2017,3
2017-04-01,185,고산,14.1,79,85.1,5.9,195.2,0,15.9,2017,4
2017-05-01,185,고산,17.8,81,31.1,4.8,243.2,0,21.8,2017,5
2017-06-01,185,고산,20.8,88,114.8,3.9,180.1,0,25.7,2017,6
2017-07-01,185,고산,27.4,95,23.1,4.6,203.5,0,32.7,2017,7
2017-08-01,185,고산,27.6,84,279.7,5.3,271.4,0,32.4,2017,8
2017-09-01,185,고산,23.3,79,58.3,5.3,154.2,0,25.5,2017,9
2017-10-01,185,고산,18.7,80,152.4,6.2,178,0,19.7,2017,10
2017-11-01,185,고산,12.7,72,6.7,6.9,178.8,0,14.7,2017,11
2017-12-01,185,고산,7.2,67,16.7,9.1,121.6,0,6.4,2017,12
2018-01-01,185,고산,4.9,73,47.7,9.2,111.6,0,4.8,2018,1
2018-02-01,185,고산,5.5,66,75,8.6,137.9,0,6.3,2018,2
2018-03-01,185,고산,11,84,101.2,6,193.3,0,13.1,2018,3
2018-04-01,185,고산,15.1,83,175.6,6.5,203.7,0,18.5,2018,4
2018-05-01,185,고산,17.9,87,256.7,,144.8,0,20.4,2018,5
2018-06-01,185,고산,21.3,89,186.7,4.1,208.8,0,25.2,2018,6
2018-07-01,185,고산,26.5,89,20.8,4.9,272.9,0,32,2018,7
2018-08-01,185,고산,27.7,86,127.2,6,297.6,0,31.5,2018,8
2018-09-01,185,고산,23.4,82,136.6,5.1,166.3,0,24.5,2018,9
2018-10-01,185,고산,17.6,71,121.2,6.7,220.6,0,18.3,2018,10
2018-11-01,185,고산,14,72,42.1,5.4,190.4,0,13.3,2018,11
2018-12-01,185,고산,8.7,72,55,7.9,89.7,0,7.6,2018,12
2019-01-01,185,고산,6.4,69,17.4,8.1,153.1,0,6.5,2019,1
2019-02-01,185,고산,7.1,70,34.1,6.7,127.9,0,6.9,2019,2
2019-03-01,185,고산,10.2,72,46,6.1,206.6,0,11.4,2019,3
2019-04-01,185,고산,13.8,77,27.9,4,202.9,0,17.5,2019,4
2019-05-01,185,고산,18,77,122.6,3.6,267.2,0,22.1,2019,5
2019-06-01,185,고산,20.5,90,172.9,2.3,207,0,24.7,2019,6
2019-07-01,185,고산,23.9,95,191.3,2.5,139.9,0,26.5,2019,7
2019-08-01,185,고산,26.8,87,321.5,4.9,225.3,0,29.7,2019,8
2019-09-01,185,고산,23.6,88,400.1,5.3,180.2,0,24.9,2019,9
2019-10-01,185,고산,19.4,74,127.2,6.5,221.7,0,20.1,2019,10
2019-11-01,185,고산,14.6,71,16.1,7,192.4,0,14.8,2019,11
2019-12-01,185,고산,9.8,70,83.8,7.8,111.8,0,9,2019,12
2020-01-01,185,고산,8.5,73,76.1,8.1,84.7,0,7.8,2020,1
2020-02-01,185,고산,8.9,75,41.6,7.8,163.7,0,9.4,2020,2
2020-03-01,185,고산,10.7,73,61.2,7.5,215.5,0,12.6,2020,3
2020-04-01,185,고산,12.3,68,32.5,7.5,273.8,0,15.4,2020,4
2020-05-01,185,고산,17.4,87,90.3,5.3,197,0,21.4,2020,5
2020-06-01,185,고산,21.5,92,290.5,4.7,158.3,0,25.6,2020,6
2020-07-01,185,고산,23.1,94,247.8,5.2,130.6,0,26.1,2020,7
2020-08-01,185,고산,27.7,92,181.2,5.9,242.2,0,31.4,2020,8
2020-09-01,185,고산,22.5,85,132.8,5,180.3,0,23.8,2020,9
2020-10-01,185,고산,18,69,34.7,6.3,236.3,0,19.9,2020,10
2020-11-01,185,고산,14.1,74,19.4,7.1,166.2,0,14.7,2020,11
2020-12-01,185,고산,7.8,69,20.8,8,141.2,0,7.8,2020,12
2021-01-01,185,고산,6.9,72,72,9.8,135.4,0,5.8,2021,1
2021-02-01,185,고산,9,74,41.9,8.6,167.3,0,9.1,2021,2
2021-03-01,185,고산,12,79,111.8,6.7,204.6,0,13.4,2021,3
2021-04-01,185,고산,14.9,74,101.2,6.4,232.8,0,18.6,2021,4
2021-05-01,185,고산,17.9,87,132.2,6.1,240.5,0,21.8,2021,5
2021-06-01,185,고산,22.5,94,174.5,4.5,229.9,0,26.6,2021,6
2021-07-01,185,고산,26.6,91,122.7,5.2,175.2,0,28.7,2021,7
2021-08-01,185,고산,26.5,93,196.7,4.7,200.1,0,28.5,2021,8
2021-09-01,185,고산,24.2,89,348,5,171.5,0,25.4,2021,9
2021-10-01,185,고산,19.9,75,19.8,5.7,235.6,0,20.8,2021,10
2021-11-01,185,고산,14.1,69,48.8,8.4,190.8,0,13.6,2021,11
2021-12-01,185,고산,9.2,67,18.3,9.6,151.6,0,8.3,2021,12
2022-01-01,185,고산,6.1,70,31.6,8.1,149.2,0,5.7,2022,1
2022-02-01,185,고산,5.2,63,4.6,9,155.5,0,5.7,2022,2
2022-03-01,185,고산,10.8,79,100.6,6.8,172.8,0,11.9,2022,3
2022-04-01,185,고산,14.8,79,77.7,5.2,242.8,0,17.5,2022,4
2022-05-01,185,고산,18.1,79,7.1,4.8,271.9,0,23.1,2022,5
2022-06-01,185,고산,22.1,95,172.8,5.3,173.3,0,26.2,2022,6
2022-07-01,185,고산,27,93,258.4,5.2,256.8,0,31.2,2022,7
2022-08-01,185,고산,27.7,90,143.2,5.6,246.1,0,31.2,2022,8
2022-09-01,185,고산,23.8,80,361.9,5.8,179.5,0,25.4,2022,9
2022-10-01,185,고산,18,68,8.4,7.1,237.6,0,20.2,2022,10
2022-11-01,185,고산,15.5,68,68.4,6.2,202.4,0,16.2,2022,11
2022-12-01,185,고산,7.3,64,22.9,9.9,100.2,0,7,2022,12
2023-01-01,185,고산,6.8,67,56.1,8.2,109.9,0,7,2023,1
2023-02-01,185,고산,7.4,69,55.4,7,122.4,0,8,2023,2
2023-03-01,185,고산,11.6,70,42.7,5.9,199.3,0,13.1,2023,3
2023-04-01,185,고산,14.6,72,102.7,6.9,192,0,17.1,2023,4
2023-05-01,185,고산,17.7,84,298.9,5.4,153.4,0,20.6,2023,5
2023-06-01,185,고산,21.2,88,272.3,4.7,143.6,0,24.3,2023,6
2023-07-01,185,고산,25.7,93,170.8,5.6,86.5,0,27.7,2023,7
2023-08-01,185,고산,27.3,81,203.6,5.1,273.3,0,32.2,2023,8
2023-09-01,185,고산,24.9,79,76.1,4.4,203.4,0,,2023,9
2023-10-01,185,고산,19,65,2.8,5.5,234.4,0,21.5,2023,10
2023-11-01,185,고산,13.7,69,44.6,9,136.3,0,14,2023,11
2023-12-01,185,고산,9.6,73,74,8.9,79.2,0,9,2023,12
2015-01-01,188,성산,6.3,69,108.6,3.4,165.8,5.7,5.9,2015,1
2015-02-01,188,성산,6.4,64,97.3,3.4,146.8,0,6.6,2015,2
2015-03-01,188,성산,9.4,65,189.9,2.9,210.3,0,11.2,2015,3
2015-04-01,188,성산,13.9,78,290.7,2.9,161.6,0,16,2015,4
2015-05-01,188,성산,18,72,280.9,2.6,255.4,0,21.5,2015,5
2015-06-01,188,성산,20.6,87,221.2,2.2,128.3,0,23.5,2015,6
2015-07-01,188,성산,23.9,89,381.5,3.2,157.4,0,25.8,2015,7
2015-08-01,188,성산,25.9,83,232.2,2.7,202.7,0,27.9,2015,8
2015-09-01,188,성산,22.5,78,279.7,3.2,209.2,0,23.6,2015,9
2015-10-01,188,성산,18.2,71,54.8,2.8,248.8,0,20.6,2015,10
2015-11-01,188,성산,14.6,81,292.7,2.9,89.3,0,14.7,2015,11
2015-12-01,188,성산,9.2,71,112.7,3,130,0,8.5,2015,12
2016-01-01,188,성산,5,71,167.8,3.1,99.3,0,5,2016,1
2016-02-01,188,성산,6.4,64,103.1,3.6,173.1,0,6.2,2016,2
2016-03-01,188,성산,10.1,69,206.7,3.1,207.7,0,11.1,2016,3
2016-04-01,188,성산,15.2,78,294.4,2.8,168.8,0,16.3,2016,4
2016-05-01,188,성산,18.2,77,197.8,2.8,197.7,0,19.6,2016,5
2016-06-01,188,성산,21.5,89,241.3,2.3,107.2,0,22.9,2016,6
2016-07-01,188,성산,26.1,89,170.2,2.8,160.9,0,27.9,2016,7
2016-08-01,188,성산,27.9,77,81.4,2.7,281.8,0,32.1,2016,8
2016-09-01,188,성산,23.4,84,276.1,2.8,111.5,0,24.5,2016,9
2016-10-01,188,성산,19.8,79,280.2,3.3,95.7,0,19.2,2016,10
2016-11-01,188,성산,13.1,71,92.9,3.1,154.4,0,12.5,2016,11
2016-12-01,188,성산,9,69,144,3.3,157.6,0,8.6,2016,12
2017-01-01,188,성산,6,66,55.6,3.5,163.4,0,5.8,2017,1
2017-02-01,188,성산,6,63,86.9,3.8,177.6,0,5.5,2017,2
2017-03-01,188,성산,9.1,62,60.4,3.3,201.7,0,11.2,2017,3
2017-04-01,188,성산,15.1,68,106.7,3.4,208.7,0,16.1,2017,4
2017-05-01,188,성산,18.5,70,66.4,2.6,247.6,0,20.7,2017,5
2017-06-01,188,성산,21.7,76,141.2,2.6,180.5,0,24,2017,6
2017-07-01,188,성산,27.5,87,427.5,3,180.9,0,28.6,2017,7
2017-08-01,188,성산,27.5,79,437.3,2.8,233.1,0,28.5,2017,8
2017-09-01,188,성산,23.5,73,98.3,3.2,159.8,0,24.4,2017,9
2017-10-01,188,성산,18.9,74,389.1,3.6,160.2,0,19,2017,10
2017-11-01,188,성산,11.7,66,16.5,2.7,182.9,0,12.7,2017,11
2017-12-01,188,성산,5.8,63,31.8,2.7,159.1,0,4.9,2017,12
2018-01-01,188,성산,4,68,102.4,3,133.9,0,3.3,2018,1
2018-02-01,188,성산,4.7,62,125.7,3.2,140.6,0,4.4,2018,2
2018-03-01,188,성산,10.6,77,179.5,3.4,189.8,0,11.4,2018,3
2018-04-01,188,성산,15,74,234.1,3.5,211.5,0,17.2,2018,4
2018-05-01,188,성산,17.9,80,151.8,3.4,137.2,0,19.3,2018,5
2018-06-01,188,성산,21.3,82,377.2,2.7,156,0,23.2,2018,6
2018-07-01,188,성산,26.2,83,41.8,2.9,245.5,0,31.1,2018,7
2018-08-01,188,성산,27.6,82,125,3.8,254.7,0,31.6,2018,8
2018-09-01,188,성산,23.1,77,521.8,3.2,144.4,0,23.2,2018,9
2018-10-01,188,성산,16.6,68,184.2,3.1,219.7,0,16.2,2018,10
2018-11-01,188,성산,13,68,45.9,2.5,184.5,0,12.2,2018,11
2018-12-01,188,성산,7.9,67,57.3,2.9,121.6,0,6.5,2018,12
2019-01-01,188,성산,5.8,63,16.2,3.2,160.7,0,4.6,2019,1
2019-02-01,188,성산,7,62,77.4,3.4,139.6,0,6,2019,2
2019-03-01,188,성산,10.2,62,133.5,3.5,198.7,0,10.5,2019,3
2019-04-01,188,성산,13.9,69,132.5,2.8,193.3,0,16.5,2019,4
2019-05-01,188,성산,18.7,62,247.3,3,268.7,0,21.7,2019,5
2019-06-01,188,성산,20.9,80,170.2,2.6,196.8,0,23.9,2019,6
2019-07-01,188,성산,24.1,87,516.5,3.5,134.1,0,25.9,2019,7
2019-08-01,188,성산,26.7,81,377.4,2.7,212.3,0,30.9,2019,8
2019-09-01,188,성산,23.9,82,613.3,3.6,144.9,0,24.6,2019,9
2019-10-01,188,성산,19.1,70,233.9,3.5,217,0,18.1,2019,10
2019-11-01,188,성산,13.9,67,36.2,3,176.9,0,13.1,2019,11
2019-12-01,188,성산,8.8,66,103.7,2.9,144.6,0,7.8,2019,12
2020-01-01,188,성산,8.1,67,94.4,2.8,118.6,0,7.1,2020,1
2020-02-01,188,성산,8.4,68,98.7,2.8,159.7,0,8,2020,2
2020-03-01,188,성산,10.8,64,110.7,3,222.6,0,11.7,2020,3
2020-04-01,188,성산,12.6,55,87,3.1,279.3,0,14.3,2020,4
2020-05-01,188,성산,18.2,77,246.4,2.4,203.2,0,20.7,2020,5
2020-06-01,188,성산,21.8,85,326.6,2.1,163.2,0,24,2020,6
2020-07-01,188,성산,23.5,87,378.1,2.4,129.2,0,25,2020,7
2020-08-01,188,성산,27.9,83,204.7,3.3,217.9,0,29.4,2020,8
2020-09-01,188,성산,22.4,76,469.3,2.8,160,0,22.6,2020,9
2020-10-01,188,성산,17.7,62,34.4,2.7,226.4,0,18.5,2020,10
2020-11-01,188,성산,13.5,63,14.9,2.7,159.8,0,12.8,2020,11
2020-12-01,188,성산,6.7,60,51,2.4,168.3,0,6.2,2020,12
2021-01-01,188,성산,5.9,65,93.7,2.8,149.2,0,4.8,2021,1
2021-02-01,188,성산,8.7,59,72.7,3.2,158.8,0,7.8,2021,2
2021-03-01,188,성산,12.3,59,214.1,2.9,186.4,0,12.7,2021,3
2021-04-01,188,성산,15.1,58,94.7,3.1,241.4,0,19.2,2021,4
2021-05-01,188,성산,18.4,74,154.1,2.8,231.4,0,21.4,2021,5
2021-06-01,188,성산,22.3,90,190.6,2.2,174.9,0,25.5,2021,6
2021-07-01,188,성산,26.7,94,218.4,2.9,170.6,0,28.4,2021,7
2021-08-01,188,성산,26.5,91,417.8,2.6,195.5,0,27.7,2021,8
2021-09-01,188,성산,24.5,78,431.7,3.1,147.6,0,24.9,2021,9
2021-10-01,188,성산,19.6,68,101.2,2.5,233.5,0,19.8,2021,10
2021-11-01,188,성산,12.9,64,67,2.8,194.2,0,11.8,2021,11
2021-12-01,188,성산,7.8,64,30.3,2.9,161.1,0,6.5,2021,12
2022-01-01,188,성산,5.5,65,28.2,3,148.7,0,4.5,2022,1
2022-02-01,188,성산,4.7,60,34.7,3,129.9,0,4.8,2022,2
2022-03-01,188,성산,11.1,68,161,3.4,168.4,0,12.2,2022,3
2022-04-01,188,성산,15.2,68,111.3,2.9,217.3,0,18.2,2022,4
2022-05-01,188,성산,18.5,66,20.2,2.6,234.1,0,22.8,2022,5
2022-06-01,188,성산,22.1,88,203.8,3.4,112.8,0,24.8,2022,6
2022-07-01,188,성산,26.8,85,225.9,2.9,162.7,0,29,2022,7
2022-08-01,188,성산,27.8,81,233.8,3.4,202.5,0,30.2,2022,8
2022-09-01,188,성산,23.7,79,271.3,3.9,119.2,0,24.7,2022,9
2022-10-01,188,성산,17.9,69,36.2,3.4,179.6,0,18.5,2022,10
2022-11-01,188,성산,14.8,71,173.8,3.1,173.7,0,14.4,2022,11
2022-12-01,188,성산,5.6,69,54.8,3,107,0,5.1,2022,12
2023-01-01,188,성산,5.8,69,69.4,3.1,142.2,0,5.2,2023,1
2023-02-01,188,성산,7.3,69,108.1,3.1,148.3,0,7.2,2023,2
2023-03-01,188,성산,12.2,67,62.1,3.1,202.7,0,12.5,2023,3
2023-04-01,188,성산,15,71,183.1,4,210.5,0,16.7,2023,4
2023-05-01,188,성산,18.2,81,489.8,3.1,163.6,0,20.2,2023,5
2023-06-01,188,성산,22.3,83,265.5,2.7,146.1,0,24.4,2023,6
2023-07-01,188,성산,26.5,91,344.2,3.1,98.6,0,27.8,2023,7
2023-08-01,188,성산,27.7,84,179.7,3,225.3,0,30,2023,8
2023-09-01,188,성산,25.4,80,219.4,2.6,182.4,0,27.6,2023,9
2023-10-01,188,성산,18.4,68,40.5,2.4,214.1,0,19.8,2023,10
2023-11-01,188,성산,13,70,64.1,2.9,157.6,0,11.8,2023,11
2023-12-01,188,성산,8.7,76,73.2,2.9,81.3,0,7.5,2023,12
2015-01-01,189,서귀포,8.4,63,80.6,2.3,197.4,0.7,6.8,2015,1
2015-02-01,189,서귀포,8.1,64,180.7,2.1,165.8,0,7.7,2015,2
2015-03-01,189,서귀포,11.1,62,183.5,2,214,0,12,2015,3
2015-04-01,189,서귀포,15,75,248.1,2.3,164.1,0,17.2,2015,4
2015-05-01,189,서귀포,19,70,426.5,1.8,252.7,0,23.9,2015,5
2015-06-01,189,서귀포,21.2,85,271.5,1.9,142.9,0,24.6,2015,6
2015-07-01,189,서귀포,24.2,89,396.8,2.3,169,0,27.5,2015,7
2015-08-01,189,서귀포,26.2,81,157.3,2,217.8,0,30.7,2015,8
2015-09-01,189,서귀포,22.8,74,295.1,2.6,209.9,0,25.2,2015,9
2015-10-01,189,서귀포,18.9,62,61,2.1,250.6,0,21.5,2015,10
2015-11-01,189,서귀포,15.4,77,215.5,1.9,112.7,0,15.5,2015,11
2015-12-01,189,서귀포,10.1,69,101.5,1.7,136.7,0,9.2,2015,12
2016-01-01,189,서귀포,6.2,66,74.9,1.6,115.2,0,6.2,2016,1
2016-02-01,189,서귀포,7.4,63,143.4,1.8,173.8,0,8,2016,2
2016-03-01,189,서귀포,11.1,67,138.1,1.7,205.5,0,12.6,2016,3
2016-04-01,189,서귀포,15.8,76,232.2,1.8,180.6,0,18.1,2016,4
2016-05-01,189,서귀포,18.9,75,216.6,1.5,189.1,0,22.5,2016,5
2016-06-01,189,서귀포,21.7,88,281.2,1.6,110.9,0,25.3,2016,6
2016-07-01,189,서귀포,25.8,92,203.2,1.6,176.7,0,30.4,2016,7
